,Asia,South America,Australia,North America,Asia,South America,Africa,Europe,Europe,Africa,North America
week,Afghanistan,Argentina,Australia,Canada,China,Colombia,Egypt,Germany,Ireland,South Africa,USA
1,5,4,2,41,2179,36,739,26,23,0,366
2,13,21,1,15,2213,36,396,24,8,1,396
3,4,6,1,8,2228,14,192,18,4,0,447
4,0,1,0,14,2027,11,80,NA,8,0,402
5,0,4,1,12,1813,8,56,NA,4,0,404
6,0,0,1,6,1353,9,47,NA,0,0,361
7,1,3,0,6,799,7,32,NA,0,0,380
8,1,1,4,7,1218,5,16,NA,1,1,424
9,NA,0,3,3,1333,7,8,3,0,0,445
10,1,3,1,7,1614,5,8,7,0,0,475
11,0,0,1,9,1745,11,3,2,0,0,351
12,0,9,2,7,1548,1,5,6,1,0,246
13,0,8,0,6,1388,4,6,0,0,0,237
14,0,7,0,6,843,2,3,1,0,0,127
15,0,9,4,0,635,8,2,0,0,1,79
16,0,15,2,2,716,16,2,0,1,0,52
17,0,16,6,4,602,8,2,0,0,0,37
18,0,18,1,3,529,3,9,0,0,1,31
19,0,10,3,1,434,8,2,0,0,0,26
20,0,4,4,4,368,10,1,1,1,1,19
21,0,5,4,5,314,15,0,0,0,1,8
22,0,34,3,0,225,42,9,0,0,2,8
23,0,49,1,1,238,40,8,1,0,10,8
24,0,50,5,1,118,30,8,0,0,16,11
25,1,40,12,0,185,40,7,0,0,36,11
26,0,43,18,8,202,36,6,0,0,84,7
27,0,40,14,2,262,31,6,0,0,85,4
28,0,64,15,6,334,33,4,0,0,85,10
29,0,76,15,0,432,33,14,0,0,61,12
30,0,75,31,3,413,27,7,0,0,121,24
31,0,43,39,0,615,29,5,0,0,124,19
32,0,84,44,2,776,15,2,0,0,99,32
33,0,71,60,1,782,9,4,0,0,122,21
34,0,79,64,6,1018,19,1,0,0,116,45
35,0,52,78,2,1211,3,6,0,0,74,34
36,0,40,77,1,1441,15,0,0,0,78,46
37,0,32,56,3,1473,18,0,0,0,61,64
38,0,37,105,8,1197,8,0,1,0,39,67
39,0,64,92,12,1045,13,0,1,0,24,62
40,0,108,97,11,890,7,3,0,0,20,77
41,0,279,52,17,685,2,7,2,2,8,128
42,0,280,50,17,508,3,19,1,1,14,141
43,0,89,54,14,498,1,14,2,0,6,168
44,0,59,47,22,400,9,16,0,0,3,247
45,0,25,29,42,389,5,19,1,0,11,352
46,0,32,14,55,245,15,20,1,0,9,491
47,0,30,23,111,397,13,36,3,1,8,588
48,0,39,19,225,400,4,64,1,1,3,609
49,0,20,20,323,395,17,88,2,13,3,843
50,0,20,23,566,359,14,152,23,48,0,1438
51,NA,16,29,987,602,19,372,18,161,3,1998
52,NA,1,25,1366,532,12,522,44,383,2,2375
